DATE;MAX_TEMP_C;MIN_TEMP_C;MAX_WIND_KMH;TOT_RAIN_MM
05/01/2013;23;39;26;0
05/02/2013;22;39;24;0
05/03/2013;22;38;22;0
05/04/2013;20;42;11;0
05/05/2013;24;42;9;0
05/06/2013;26;42;8;0
05/07/2013;25;41;24;0
05/08/2013;24;42;0;0
05/09/2013;27;42;15;0
05/10/2013;25;42;0;0
05/11/2013;25;41;22;0
05/12/2013;25;36;15;0
5/13/2013;23;38;11;0
5/14/2013;25;40;13;0
5/15/2013;25;37;8;0
5/16/2013;25;41;22;0
5/17/2013;25;42;22;0
5/18/2013;26;43;48;0
5/19/2013;26;45;28;0
5/20/2013;29;45;0;0
5/21/2013;28;45;26;0
5/22/2013;30;45;29;0
5/23/2013;31;46;26;0
5/24/2013;30;46;26;0
5/25/2013;31;45;22;0
5/26/2013;29;44;21;0
5/27/2013;30;43;21;0
5/28/2013;29;43;22;0
5/29/2013;28;43;16;0
5/30/2013;28;43;21;0
5/31/2013;25;41;0;0
06/01/2013;27;41;21;0
06/02/2013;27;39;22;0
06/03/2013;29;40;16;0
06/04/2013;28;42;9;0
06/05/2013;31;44;22;0
06/06/2013;26;44;0;0.5
06/07/2013;26;43;15;14.9
06/08/2013;29;40;0;0
06/09/2013;30;40;15;0
06/10/2013;30;42;15;0
06/11/2013;28;42;22;0
06/12/2013;27;39;11;0
6/13/2013;29;39;22;0
6/14/2013;28;39;22;11.9
6/15/2013;25;39;16;6
6/16/2013;24;32;11;19
6/17/2013;24;32;16;58.9
6/18/2013;24;32;11;0
6/19/2013;25;36;15;5
6/20/2013;25;38;13;0
6/21/2013;27;41;0;0
6/22/2013;31;41;22;0
6/23/2013;30;41;22;0
6/24/2013;29;39;21;0
6/25/2013;28;39;0;0
6/26/2013;27;36;15;0
6/27/2013;28;37;21;2
6/28/2013;26;37;15;0
6/29/2013;29;40;26;4
6/30/2013;25;40;22;0
07/01/2013;28;39;15;0
07/02/2013;28;38;0;0
07/03/2013;27;38;11;2
07/04/2013;28;38;15;0.7
07/05/2013;28;38;0;0
07/06/2013;27;37;15;0
07/07/2013;28;35;11;0
07/08/2013;27;36;15;0
07/09/2013;25;35;15;2
07/10/2013;23;35;0;70.1
07/11/2013;27;36;16;2
07/12/2013;27;36;15;0
7/13/2013;26;37;15;21
7/14/2013;28;37;11;0
7/15/2013;27;37;11;4
7/16/2013;28;36;11;0
7/17/2013;27;35;11;33
7/18/2013;27;34;11;0
7/19/2013;26;35;0;7.1
7/20/2013;24;35;15;0
7/21/2013;24;34;55;122.9
7/22/2013;27;33;13;0
7/23/2013;26;36;9;1
7/24/2013;28;37;15;1
7/25/2013;26;34;15;19
7/26/2013;25;35;15;8.8
7/27/2013;26;36;11;2
7/28/2013;27;36;11;14.9
7/29/2013;27;36;15;0
7/30/2013;26;36;15;28.9
7/31/2013;27;34;15;0
08/01/2013;26;35;11;0
08/02/2013;28;36;0;0
08/03/2013;27;36;15;0
08/04/2013;28;36;8;0
08/05/2013;28;36;11;7.8
08/06/2013;26;34;11;12.9
08/07/2013;25;31;8;0.5
08/08/2013;26;31;0;16
08/09/2013;25;31;9;2
08/10/2013;25;35;13;9.9
08/11/2013;26;33;11;5
08/12/2013;27;35;11;0
8/13/2013;27;35;0;0
8/14/2013;26;35;0;0
8/15/2013;25;31;15;8.8
8/16/2013;25;31;13;0
8/17/2013;24;33;76;53
8/18/2013;24;33;8;43.9
8/19/2013;26;33;0;0.2
8/20/2013;24;34;0;12.9
8/21/2013;25;34;29;94.9
8/22/2013;25;34;11;4
8/23/2013;25;35;8;0.2
8/24/2013;27;37;72;0
8/25/2013;28;37;8;12.9
8/26/2013;27;37;15;0
8/27/2013;28;36;29;0
8/28/2013;27;36;15;0
8/29/2013;26;35;22;0
8/30/2013;24;32;8;19
8/31/2013;26;34;9;0
09/01/2013;26;36;22;0
09/02/2013;27;36;22;0
09/03/2013;26;36;26;0
09/04/2013;26;36;26;0
09/05/2013;25;36;26;0
09/06/2013;25;35;22;0
09/07/2013;25;36;15;0
09/08/2013;26;34;15;0
09/09/2013;24;35;11;3
09/10/2013;25;36;0;0
09/11/2013;26;37;11;0
09/12/2013;26;36;8;0
9/13/2013;26;36;8;0
9/14/2013;26;36;8;0
9/15/2013;26;37;11;0
9/16/2013;25;34;15;0
9/17/2013;23;36;11;0
9/18/2013;24;36;0;0
9/19/2013;23;36;8;0
9/20/2013;25;34;52;0
9/21/2013;24;34;11;0
9/22/2013;23;35;15;28.9
9/23/2013;25;35;11;0
9/24/2013;26;36;11;0
9/25/2013;25;36;13;32
9/26/2013;24;35;9;0
9/27/2013;24;34;21;0
9/28/2013;24;35;4;0.5
9/29/2013;25;31;11;0
9/30/2013;24;31;11;28.9
10/01/2013;24;34;13;4
10/02/2013;26;35;13;0
10/03/2013;23;34;15;0
10/04/2013;23;34;0;2
10/05/2013;22;34;8;0
10/06/2013;23;34;8;0
10/07/2013;24;35;4;0
10/08/2013;25;35;8;0
10/09/2013;25;36;11;0
10/10/2013;24;35;11;0
10/11/2013;21;35;11;25.9
10/12/2013;22;31;15;39.1
10/13/2013;23;33;4;0
10/14/2013;23;33;0;1
10/15/2013;21;33;11;0
10/16/2013;20;34;4;0
10/17/2013;21;35;4;0
10/18/2013;22;33;4;0
10/19/2013;20;33;15;0
10/20/2013;18;33;5;0
10/21/2013;17;32;8;0
10/22/2013;17;34;0;0
10/23/2013;18;34;9;0
10/24/2013;18;32;4;0
10/25/2013;18;30;9;0
10/26/2013;19;31;4;0
10/27/2013;18;31;9;0
10/28/2013;17;31;15;0
10/29/2013;15;32;11;0
10/30/2013;15;33;9;0
10/31/2013;17;30;11;0
11/01/2013;18;31;4;0
11/02/2013;16;29;11;0.5
11/03/2013;14;28;0;0
11/04/2013;13;28;8;0
11/05/2013;12;28;0;0
11/06/2013;13;28;8;0
11/07/2013;14;27;11;0
11/08/2013;15;27;8;0
11/09/2013;12;26;4;0
11/10/2013;12;26;15;0
11/11/2013;12;27;15;0
11/12/2013;12;27;5;0
11/13/2013;11;26;11;0
11/14/2013;11;26;15;0
11/15/2013;10;27;8;0
11/16/2013;9;27;0;0
11/17/2013;9;27;11;0
